"","N.1","N.2","N.3","P.1","P.2","P.3"
"Glyma.06G172500.Wm82.a2.v1",58,51,38,42,54,29
"Glyma.04G188800.Wm82.a2.v1",43,40,34,21,21,26
"Glyma.11G012900.Wm82.a2.v1",1,1,0,3,4,0
"Glyma.12G002700.Wm82.a2.v1",4,6,4,5,4,4
"Glyma.03G163200.Wm82.a2.v1",23,13,9,3,9,3
"Glyma.06G102100.Wm82.a2.v1",1333,611,338,95,149,138
"Glyma.15G028800.Wm82.a2.v1",96,101,75,98,74,90
"Glyma.20G059300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.03G001200.Wm82.a2.v1",176,168,136,110,168,92
"Glyma.16G004100.Wm82.a2.v1",191,146,96,72,96,61
"Glyma.19G248100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.17G091000.Wm82.a2.v1",453,520,439,630,605,549
"Glyma.07G066000.Wm82.a2.v1",61,73,56,52,58,41
"Glyma.13G244200.Wm82.a2.v1",18,24,8,14,44,13
"Glyma.20G013600.Wm82.a2.v1",216,330,256,66,236,134
"Glyma.20G015700.Wm82.a2.v1",0,4,1,0,1,3
"Glyma.U038500.Wm82.a2.v1",284,254,240,149,154,110
"Glyma.06G135900.Wm82.a2.v1",2,3,2,0,2,0
"Glyma.04G100800.Wm82.a2.v1",1,0,0,0,0,3
"Glyma.07G143300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.10G263700.Wm82.a2.v1",485,410,355,392,408,342
"Glyma.19G113100.Wm82.a2.v1",0,0,1,0,0,2
"Glyma.10G268300.Wm82.a2.v1",69,69,59,34,36,39
"Glyma.06G108600.Wm82.a2.v1",124,149,84,96,72,80
"Glyma.02G013700.Wm82.a2.v1",36,37,38,18,19,43
"Glyma.09G035000.Wm82.a2.v1",0,2,0,4,2,5
"Glyma.18G024500.Wm82.a2.v1",0,0,0,1,1,0
"Glyma.08G008600.Wm82.a2.v1",299,291,242,346,439,296
"Glyma.03G175700.Wm82.a2.v1",47,26,38,17,31,28
"Glyma.08G160600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.13G141800.Wm82.a2.v1",288,299,198,348,320,262
"Glyma.08G247600.Wm82.a2.v1",1,0,0,1,2,0
"Glyma.14G093500.Wm82.a2.v1",13,7,11,35,44,24
"Glyma.14G092200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.11G214000.Wm82.a2.v1",0,0,1,0,0,0
"Glyma.09G100200.Wm82.a2.v1",42,39,27,36,31,26
"Glyma.09G229100.Wm82.a2.v1",3,3,3,4,2,3
"Glyma.07G054900.Wm82.a2.v1",172,161,94,120,144,104
"Glyma.12G087600.Wm82.a2.v1",5,4,1,1,1,1
"Glyma.19G035600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.03G237800.Wm82.a2.v1",103,30,42,47,63,46
"Glyma.09G018600.Wm82.a2.v1",334,554,471,215,196,163
"Glyma.05G096700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.09G095000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.03G182400.Wm82.a2.v1",40,28,29,28,17,23
"Glyma.09G269800.Wm82.a2.v1",96,92,53,60,62,59
"Glyma.19G216800.Wm82.a2.v1",6,5,4,4,7,4
"Glyma.15G271600.Wm82.a2.v1",0,0,1,0,0,0
"Glyma.19G160500.Wm82.a2.v1",292,340,238,365,385,313
"Glyma.10G042200.Wm82.a2.v1",0,0,0,0,0,2
