"","N.1","N.2","N.3","P.1","P.2","P.3"
"Glyma.07G127100.Wm82.a2.v1",119,114,89,154,168,109
"Glyma.13G345800.Wm82.a2.v1",21,13,22,33,28,31
"Glyma.06G291900.Wm82.a2.v1",0,0,0,0,0,1
"Glyma.16G145200.Wm82.a2.v1",7,25,17,2,3,3
"Glyma.08G008300.Wm82.a2.v1",49,69,58,51,70,45
"Glyma.20G008400.Wm82.a2.v1",4,2,0,1,0,0
"Glyma.17G091800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.05G009700.Wm82.a2.v1",148,135,119,128,118,122
"Glyma.05G083200.Wm82.a2.v1",2,0,0,0,1,0
"Glyma.06G203600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.06G000800.Wm82.a2.v1",159,147,124,102,113,113
"Glyma.13G244500.Wm82.a2.v1",84,63,49,43,44,38
"Glyma.08G130300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.06G141500.Wm82.a2.v1",88,85,74,89,73,71
"Glyma.02G256400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G045900.Wm82.a2.v1",1,3,5,0,1,3
"Glyma.07G074000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.U036200.Wm82.a2.v1",55,49,43,15,10,20
"Glyma.07G122100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.18G253500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.10G115700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G067200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.14G119500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.02G209400.Wm82.a2.v1",38,54,34,17,20,27
"Glyma.18G110200.Wm82.a2.v1",2,0,0,0,0,1
"Glyma.05G188700.Wm82.a2.v1",49,69,38,439,818,362
"Glyma.15G097900.Wm82.a2.v1",392,463,275,315,323,249
"Glyma.15G084400.Wm82.a2.v1",527,579,394,370,385,342
"Glyma.02G278900.Wm82.a2.v1",1,0,4,1,6,2
"Glyma.13G327500.Wm82.a2.v1",161,153,103,252,276,241
"Glyma.18G068800.Wm82.a2.v1",51,54,35,64,74,30
"Glyma.02G025600.Wm82.a2.v1",148,138,99,113,146,84
"Glyma.20G133300.Wm82.a2.v1",391,401,277,525,593,422
"Glyma.07G060900.Wm82.a2.v1",327,309,279,113,147,126
"Glyma.10G124600.Wm82.a2.v1",110,131,98,114,108,120
"Glyma.16G074700.Wm82.a2.v1",84,81,57,58,86,80
"Glyma.17G211100.Wm82.a2.v1",320,273,236,210,218,193
"Glyma.11G046900.Wm82.a2.v1",297,338,243,174,186,209
"Glyma.13G254800.Wm82.a2.v1",66,63,32,40,54,54
"Glyma.12G104700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G330700.Wm82.a2.v1",6,6,10,3,5,4
"Glyma.16G066100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.U031200.Wm82.a2.v1",35,45,34,21,35,39
"Glyma.18G166200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.15G204300.Wm82.a2.v1",31,27,17,26,28,16
"Glyma.08G309100.Wm82.a2.v1",1,4,1,3,3,4
"Glyma.01G069600.Wm82.a2.v1",52,62,51,28,41,35
"Glyma.18G294500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G328700.Wm82.a2.v1",29,25,23,16,33,32
"Glyma.04G004000.Wm82.a2.v1",312,307,258,338,328,276
"Glyma.20G091200.Wm82.a2.v1",71,86,84,46,56,50
"Glyma.02G082900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G111700.Wm82.a2.v1",1,0,1,1,0,0
"Glyma.19G122100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.11G145700.Wm82.a2.v1",189,206,139,102,92,107
"Glyma.04G256500.Wm82.a2.v1",0,2,0,0,0,2
"Glyma.09G015300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.U003800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G110700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G147900.Wm82.a2.v1",174,189,98,226,276,176
"Glyma.08G077900.Wm82.a2.v1",15,12,8,15,13,13
"Glyma.02G174900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.13G031300.Wm82.a2.v1",173,146,127,152,168,138
"Glyma.05G228900.Wm82.a2.v1",3,1,0,0,1,0
"Glyma.14G053900.Wm82.a2.v1",76,63,10,54,52,25
"Glyma.20G028800.Wm82.a2.v1",0,0,0,0,1,0
"Glyma.12G030500.Wm82.a2.v1",11,2,9,15,30,12
"Glyma.14G045000.Wm82.a2.v1",50,48,29,38,71,58
"Glyma.14G177800.Wm82.a2.v1",1,0,0,0,1,0
"Glyma.08G158000.Wm82.a2.v1",4,1,0,1,3,2
"Glyma.11G084200.Wm82.a2.v1",240,205,172,151,176,187
"Glyma.19G021300.Wm82.a2.v1",24,13,16,18,9,11
"Glyma.12G172100.Wm82.a2.v1",41,37,34,47,50,33
"Glyma.16G110900.Wm82.a2.v1",2,5,6,4,2,5
"Glyma.09G044100.Wm82.a2.v1",18,14,12,43,55,36
"Glyma.17G009800.Wm82.a2.v1",22,20,18,10,22,14
"Glyma.03G214000.Wm82.a2.v1",1,4,0,2,0,2
"Glyma.09G254500.Wm82.a2.v1",119,140,103,130,141,131
"Glyma.11G204100.Wm82.a2.v1",121,97,84,97,90,99
"Glyma.10G211700.Wm82.a2.v1",21,24,16,17,24,16
"Glyma.15G250500.Wm82.a2.v1",1253,1347,1186,3434,4488,1739
"Glyma.16G198200.Wm82.a2.v1",204,202,184,151,181,188
"Glyma.19G043400.Wm82.a2.v1",1,1,0,1,1,0
"Glyma.04G123500.Wm82.a2.v1",226,256,168,222,258,204
"Glyma.07G040400.Wm82.a2.v1",166,191,108,52,34,79
"Glyma.08G029000.Wm82.a2.v1",12,12,12,7,13,9
"Glyma.10G013500.Wm82.a2.v1",200,201,127,198,201,172
"Glyma.11G159300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G086000.Wm82.a2.v1",24,29,27,27,25,13
"Glyma.08G168700.Wm82.a2.v1",90,79,59,47,64,43
"Glyma.05G021800.Wm82.a2.v1",45,51,45,39,33,39
"Glyma.11G148000.Wm82.a2.v1",6,17,17,22,39,36
"Glyma.17G158300.Wm82.a2.v1",13,15,10,21,25,21
"Glyma.18G092200.Wm82.a2.v1",3867,6039,7084,3085,1515,9399
"Glyma.U010700.Wm82.a2.v1",120,130,85,155,145,98
"Glyma.18G217800.Wm82.a2.v1",64,73,35,46,61,43
"Glyma.13G298200.Wm82.a2.v1",0,0,0,0,0,1
"Glyma.04G161800.Wm82.a2.v1",0,1,0,0,2,2
"Glyma.14G092100.Wm82.a2.v1",127,130,97,141,158,113
"Glyma.U033300.Wm82.a2.v1",205,198,141,138,170,160
"Glyma.04G057700.Wm82.a2.v1",1,0,0,0,0,0
"Glyma.06G107000.Wm82.a2.v1",2,5,1,0,1,1
"Glyma.10G020400.Wm82.a2.v1",0,2,0,1,0,0
"Glyma.10G175500.Wm82.a2.v1",5,6,7,8,9,10
"Glyma.11G162500.Wm82.a2.v1",8,1,1,5,2,5
"Glyma.08G297000.Wm82.a2.v1",93,95,77,80,79,55
"Glyma.08G013300.Wm82.a2.v1",54,55,41,45,54,26
"Glyma.15G189200.Wm82.a2.v1",285,345,262,135,148,151
"Glyma.11G108600.Wm82.a2.v1",30,26,24,18,16,11
"Glyma.10G270300.Wm82.a2.v1",64,50,50,66,84,37
"Glyma.05G239500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.13G200700.Wm82.a2.v1",0,0,0,0,1,1
"Glyma.03G082000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.12G221300.Wm82.a2.v1",5,1,1,0,1,1
"Glyma.13G223800.Wm82.a2.v1",1,0,0,1,1,0
"Glyma.02G045100.Wm82.a2.v1",197,224,152,93,74,46
"Glyma.17G243900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.13G331000.Wm82.a2.v1",3,4,1,0,3,4
"Glyma.11G059500.Wm82.a2.v1",71,62,39,90,111,92
"Glyma.11G012500.Wm82.a2.v1",116,132,98,105,148,120
"Glyma.09G132100.Wm82.a2.v1",1,1,0,1,2,0
"Glyma.06G206800.Wm82.a2.v1",9,7,4,39,80,33
"Glyma.U035400.Wm82.a2.v1",11,13,4,15,17,10
"Glyma.02G041500.Wm82.a2.v1",45,34,40,34,32,32
"Glyma.17G258500.Wm82.a2.v1",5,7,10,2,2,3
"Glyma.04G229200.Wm82.a2.v1",199,192,143,120,141,150
"Glyma.16G187600.Wm82.a2.v1",1,0,0,0,0,0
"Glyma.03G229500.Wm82.a2.v1",4,5,3,1,8,4
"Glyma.19G185400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.17G081900.Wm82.a2.v1",5,3,4,4,6,2
"Glyma.14G015900.Wm82.a2.v1",103,168,112,126,93,81
"Glyma.U026500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.11G243100.Wm82.a2.v1",15,19,7,16,8,6
"Glyma.15G053600.Wm82.a2.v1",136,130,102,147,156,119
"Glyma.13G172300.Wm82.a2.v1",12,12,8,12,16,13
"Glyma.11G068900.Wm82.a2.v1",0,0,1,2,0,2
"Glyma.11G221900.Wm82.a2.v1",75,89,60,47,56,66
"Glyma.08G115400.Wm82.a2.v1",13,16,8,12,5,10
"Glyma.03G033500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.05G088100.Wm82.a2.v1",1,2,0,1,2,0
"Glyma.20G237600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G094400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.03G089800.Wm82.a2.v1",29,29,21,34,51,22
"Glyma.18G111900.Wm82.a2.v1",848,1147,853,745,517,622
"Glyma.20G227700.Wm82.a2.v1",3,6,2,3,5,1
"Glyma.12G228400.Wm82.a2.v1",338,386,296,319,393,222
"Glyma.02G310800.Wm82.a2.v1",29,26,17,16,31,23
"Glyma.20G209200.Wm82.a2.v1",10,12,12,9,6,2
"Glyma.04G131700.Wm82.a2.v1",116,104,75,82,102,90
"Glyma.19G121500.Wm82.a2.v1",151,146,105,129,177,118
"Glyma.05G149200.Wm82.a2.v1",53,60,34,36,49,43
"Glyma.09G198200.Wm82.a2.v1",234,197,149,134,151,170
"Glyma.03G035800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.17G178700.Wm82.a2.v1",265,285,196,148,140,157
"Glyma.09G128900.Wm82.a2.v1",0,0,0,0,1,0
"Glyma.07G171800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.04G194100.Wm82.a2.v1",67,86,42,87,108,87
"Glyma.05G062700.Wm82.a2.v1",65,53,69,28,26,57
"Glyma.11G007100.Wm82.a2.v1",175,165,105,84,85,77
"Glyma.11G116900.Wm82.a2.v1",27,43,25,23,29,30
"Glyma.18G284700.Wm82.a2.v1",187,196,159,159,174,133
"Glyma.12G206100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.14G199700.Wm82.a2.v1",0,2,0,1,0,0
"Glyma.16G005300.Wm82.a2.v1",226,263,165,165,168,132
"Glyma.01G233100.Wm82.a2.v1",28,35,34,47,46,49
"Glyma.05G069600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.13G130200.Wm82.a2.v1",16,13,12,17,22,11
"Glyma.13G065300.Wm82.a2.v1",26,22,18,15,20,19
"Glyma.10G138200.Wm82.a2.v1",4,3,2,14,47,27
"Glyma.09G019200.Wm82.a2.v1",722,747,671,452,561,426
"Glyma.18G262000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.05G149700.Wm82.a2.v1",424,392,280,152,135,127
"Glyma.13G179600.Wm82.a2.v1",96,97,97,42,53,63
"Glyma.03G151900.Wm82.a2.v1",61,62,37,64,65,61
"Glyma.19G096800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.02G147700.Wm82.a2.v1",0,7,5,1,1,1
"Glyma.02G285500.Wm82.a2.v1",0,3,4,0,3,0
"Glyma.09G263400.Wm82.a2.v1",242,251,174,200,123,174
"Glyma.10G080600.Wm82.a2.v1",11,11,5,8,3,9
"Glyma.05G155400.Wm82.a2.v1",6,16,5,15,9,12
"Glyma.17G056400.Wm82.a2.v1",48,57,59,18,21,25
"Glyma.08G048200.Wm82.a2.v1",288,224,214,383,505,280
"Glyma.04G130800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.06G262600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.05G060300.Wm82.a2.v1",768,692,605,693,793,698
"Glyma.18G294700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.16G045000.Wm82.a2.v1",537,406,303,421,491,299
"Glyma.18G144800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.15G233800.Wm82.a2.v1",1,0,0,0,0,0
"Glyma.05G165400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G053500.Wm82.a2.v1",420,349,129,77,64,197
"Glyma.18G299800.Wm82.a2.v1",7,19,6,8,7,7
"Glyma.06G277900.Wm82.a2.v1",24,24,20,5,13,16
"Glyma.03G197300.Wm82.a2.v1",16,19,8,128,247,99
"Glyma.08G088200.Wm82.a2.v1",4,1,1,4,7,5
"Glyma.17G104100.Wm82.a2.v1",222,250,174,204,302,323
"Glyma.16G188500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.12G054500.Wm82.a2.v1",180,137,126,138,127,97
"Glyma.10G103800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.19G212700.Wm82.a2.v1",0,0,0,2,4,3
"Glyma.11G208800.Wm82.a2.v1",23,20,12,24,29,23
"Glyma.04G171400.Wm82.a2.v1",553,516,456,578,748,411
"Glyma.18G128700.Wm82.a2.v1",4,9,11,2,4,1
"Glyma.16G011200.Wm82.a2.v1",111,81,69,87,94,115
"Glyma.15G167300.Wm82.a2.v1",2,3,1,0,0,1
"Glyma.16G015500.Wm82.a2.v1",408,411,289,387,546,346
"Glyma.17G081000.Wm82.a2.v1",11,11,3,8,9,11
"Glyma.04G052300.Wm82.a2.v1",27,15,20,17,18,23
"Glyma.18G172900.Wm82.a2.v1",3,5,8,2,4,12
"Glyma.15G067400.Wm82.a2.v1",25,25,23,8,11,18
"Glyma.20G016400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.20G202300.Wm82.a2.v1",1,1,0,0,0,0
"Glyma.09G060600.Wm82.a2.v1",218,204,161,197,183,167
"Glyma.05G050900.Wm82.a2.v1",17,10,8,12,6,15
"Glyma.11G024900.Wm82.a2.v1",87,83,75,98,150,104
"Glyma.01G079200.Wm82.a2.v1",155,184,112,138,121,108
"Glyma.13G088000.Wm82.a2.v1",9,13,4,15,58,22
"Glyma.08G333300.Wm82.a2.v1",39,37,30,42,51,54
"Glyma.06G251600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.07G140100.Wm82.a2.v1",24,15,17,10,9,7
"Glyma.11G144500.Wm82.a2.v1",9,14,27,6,1,5
"Glyma.06G206200.Wm82.a2.v1",12,33,13,8,3,4
"Glyma.05G147900.Wm82.a2.v1",32,32,21,17,32,23
"Glyma.18G024200.Wm82.a2.v1",120,115,79,93,110,86
"Glyma.12G135600.Wm82.a2.v1",359,351,216,360,403,310
"Glyma.10G055400.Wm82.a2.v1",3,2,6,1,0,1
"Glyma.04G058700.Wm82.a2.v1",1,2,3,2,4,2
"Glyma.13G091600.Wm82.a2.v1",7,10,5,2,3,2
"Glyma.08G165200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.10G084600.Wm82.a2.v1",13,18,13,4,5,8
"Glyma.17G231600.Wm82.a2.v1",180,139,136,168,235,192
"Glyma.18G032600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.07G219700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.14G096000.Wm82.a2.v1",234,219,199,223,273,203
"Glyma.05G165500.Wm82.a2.v1",281,268,195,226,348,196
"Glyma.13G337100.Wm82.a2.v1",19,11,14,16,14,15
"Glyma.13G316800.Wm82.a2.v1",26,16,20,31,34,21
"Glyma.02G116800.Wm82.a2.v1",4,0,0,0,0,3
"Glyma.01G007100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.12G134600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.10G190100.Wm82.a2.v1",184,213,93,106,88,100
"Glyma.15G104700.Wm82.a2.v1",5,0,0,1,1,0
"Glyma.11G102900.Wm82.a2.v1",314,288,212,228,233,219
"Glyma.09G131700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.19G037300.Wm82.a2.v1",2,0,0,1,0,0
"Glyma.19G023400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.06G145300.Wm82.a2.v1",1,1,2,1,3,0
"Glyma.13G270200.Wm82.a2.v1",1,2,2,0,0,0
"Glyma.05G003300.Wm82.a2.v1",3,0,1,1,1,3
"Glyma.03G250800.Wm82.a2.v1",63,46,46,55,53,47
"Glyma.19G028400.Wm82.a2.v1",613,742,669,789,682,624
"Glyma.15G205800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.12G160200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.10G290500.Wm82.a2.v1",4,2,7,1,0,2
"Glyma.09G255400.Wm82.a2.v1",589,522,396,429,479,514
"Glyma.08G027900.Wm82.a2.v1",235,192,183,155,196,139
"Glyma.19G202900.Wm82.a2.v1",25,19,20,6,0,2
"Glyma.10G085500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.07G023600.Wm82.a2.v1",1,2,3,1,2,1
"Glyma.12G013000.Wm82.a2.v1",204,230,178,158,173,146
"Glyma.03G021300.Wm82.a2.v1",8,4,2,2,3,5
"Glyma.11G177600.Wm82.a2.v1",0,0,0,1,1,0
"Glyma.15G018800.Wm82.a2.v1",267,299,221,318,378,278
"Glyma.10G149600.Wm82.a2.v1",334,313,237,221,234,188
"Glyma.10G162300.Wm82.a2.v1",28,14,25,27,17,13
"Glyma.09G184300.Wm82.a2.v1",399,412,394,326,193,325
"Glyma.09G064800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.15G114100.Wm82.a2.v1",173,159,105,154,167,116
"Glyma.02G237100.Wm82.a2.v1",108,90,133,46,38,71
"Glyma.18G167100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.05G012700.Wm82.a2.v1",102,112,68,74,71,54
"Glyma.08G175200.Wm82.a2.v1",23,34,16,58,69,51
"Glyma.20G046800.Wm82.a2.v1",85,72,36,136,143,87
"Glyma.10G203600.Wm82.a2.v1",9,10,11,12,16,11
"Glyma.04G052100.Wm82.a2.v1",1,0,0,0,0,0
"Glyma.13G231600.Wm82.a2.v1",0,0,0,0,0,1
"Glyma.13G162300.Wm82.a2.v1",74,64,49,36,36,32
"Glyma.10G137700.Wm82.a2.v1",50,62,31,53,66,42
"Glyma.17G098700.Wm82.a2.v1",168,256,162,55,65,108
"Glyma.06G322100.Wm82.a2.v1",8,10,4,1,1,3
"Glyma.15G266700.Wm82.a2.v1",95,124,84,82,99,99
"Glyma.15G009800.Wm82.a2.v1",109,112,71,96,91,56
"Glyma.19G215200.Wm82.a2.v1",1,1,0,0,0,0
"Glyma.18G141200.Wm82.a2.v1",8,7,2,4,4,4
"Glyma.10G238400.Wm82.a2.v1",0,0,0,0,0,2
"Glyma.15G215400.Wm82.a2.v1",12,14,18,8,11,6
"Glyma.09G286100.Wm82.a2.v1",7,8,5,3,12,11
"Glyma.13G253900.Wm82.a2.v1",157,173,139,129,158,151
"Glyma.15G209700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.03G002300.Wm82.a2.v1",0,0,0,0,3,0
"Glyma.12G188200.Wm82.a2.v1",239,323,240,276,290,231
"Glyma.08G267300.Wm82.a2.v1",0,0,0,0,1,0
"Glyma.02G243200.Wm82.a2.v1",0,0,0,0,1,0
"Glyma.02G179500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.07G228700.Wm82.a2.v1",5,8,6,1,0,4
"Glyma.10G104900.Wm82.a2.v1",99,77,76,102,127,71
"Glyma.16G202800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.03G037100.Wm82.a2.v1",14,12,9,3,9,14
"Glyma.15G248700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.17G072700.Wm82.a2.v1",0,0,0,0,0,1
"Glyma.18G210800.Wm82.a2.v1",0,0,0,1,1,0
"Glyma.13G035000.Wm82.a2.v1",2,3,5,4,4,5
"Glyma.04G014300.Wm82.a2.v1",165,156,137,89,135,110
"Glyma.07G005000.Wm82.a2.v1",2,3,3,8,6,7
"Glyma.19G153200.Wm82.a2.v1",104,87,85,102,160,79
"Glyma.17G197700.Wm82.a2.v1",622,605,573,359,306,347
"Glyma.19G165600.Wm82.a2.v1",0,1,1,1,0,0
"Glyma.07G259700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.16G048300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.U000700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.20G122000.Wm82.a2.v1",195,147,125,113,115,95
"Glyma.10G056200.Wm82.a2.v1",0,5,0,0,0,0
"Glyma.18G027900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.14G197700.Wm82.a2.v1",23,19,13,31,33,21
"Glyma.13G267200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.02G155900.Wm82.a2.v1",0,1,0,0,0,0
"Glyma.10G268000.Wm82.a2.v1",90,132,100,137,181,102
"Glyma.04G224300.Wm82.a2.v1",176,194,153,106,119,129
"Glyma.18G208700.Wm82.a2.v1",9,3,4,2,5,1
"Glyma.16G183900.Wm82.a2.v1",1,1,2,3,1,5
"Glyma.13G193100.Wm82.a2.v1",10,4,8,12,12,10
"Glyma.06G130500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.14G115000.Wm82.a2.v1",58,86,32,37,38,40
"Glyma.20G190300.Wm82.a2.v1",40,43,29,42,37,24
"Glyma.10G034700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.15G219500.Wm82.a2.v1",2,1,4,2,4,3
"Glyma.08G296000.Wm82.a2.v1",24,26,18,32,81,69
"Glyma.11G255000.Wm82.a2.v1",154,127,111,84,120,85
"Glyma.05G125700.Wm82.a2.v1",75,81,62,93,134,60
"Glyma.07G180600.Wm82.a2.v1",3,6,1,1,0,3
"Glyma.02G266300.Wm82.a2.v1",118,114,109,100,145,122
"Glyma.04G232200.Wm82.a2.v1",38,27,28,21,21,23
"Glyma.08G179800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.10G243700.Wm82.a2.v1",57,64,40,45,44,37
"Glyma.10G032800.Wm82.a2.v1",20,19,22,25,34,17
"Glyma.11G113100.Wm82.a2.v1",86,106,68,100,119,99
"Glyma.18G206100.Wm82.a2.v1",5,3,0,1,3,0
"Glyma.13G140900.Wm82.a2.v1",50,49,48,69,64,38
"Glyma.17G030700.Wm82.a2.v1",53,27,13,17,26,39
"Glyma.13G197800.Wm82.a2.v1",120,119,98,101,130,108
"Glyma.07G192500.Wm82.a2.v1",140,139,89,120,89,91
"Glyma.16G175600.Wm82.a2.v1",197,237,216,57,84,80
"Glyma.15G243900.Wm82.a2.v1",1,2,1,1,1,0
"Glyma.13G173100.Wm82.a2.v1",34,28,19,292,594,233
"Glyma.03G153200.Wm82.a2.v1",0,0,0,2,0,1
"Glyma.03G000700.Wm82.a2.v1",140,154,87,110,110,95
"Glyma.10G220500.Wm82.a2.v1",1,0,1,1,1,1
"Glyma.06G081900.Wm82.a2.v1",188,173,140,121,152,96
"Glyma.13G106900.Wm82.a2.v1",446,486,378,203,309,273
"Glyma.16G135400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G229500.Wm82.a2.v1",169,150,95,93,114,117
"Glyma.05G245800.Wm82.a2.v1",41,39,28,30,33,26
"Glyma.17G043900.Wm82.a2.v1",8,10,4,7,16,14
"Glyma.14G157800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.05G178100.Wm82.a2.v1",196,231,188,202,201,134
"Glyma.07G235100.Wm82.a2.v1",145,124,76,99,102,80
"Glyma.01G179800.Wm82.a2.v1",336,311,260,214,192,193
"Glyma.20G097100.Wm82.a2.v1",95,95,62,68,76,69
"Glyma.02G302100.Wm82.a2.v1",17,11,7,22,10,27
"Glyma.09G047500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G124800.Wm82.a2.v1",2,1,1,1,2,1
"Glyma.20G228200.Wm82.a2.v1",114,127,96,113,161,97
"Glyma.20G054200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.07G072400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.15G092300.Wm82.a2.v1",1,0,0,0,0,0
"Glyma.02G284900.Wm82.a2.v1",126,102,82,124,193,85
"Glyma.06G140700.Wm82.a2.v1",3,3,2,1,1,3
"Glyma.10G149200.Wm82.a2.v1",166,211,129,189,174,161
"Glyma.03G004800.Wm82.a2.v1",69,82,61,54,46,50
"Glyma.10G193500.Wm82.a2.v1",1059,2464,875,2950,2467,1341
"Glyma.07G235200.Wm82.a2.v1",81,70,52,50,63,40
"Glyma.18G257500.Wm82.a2.v1",1,2,1,1,1,0
"Glyma.09G274200.Wm82.a2.v1",2,0,0,0,0,0
"Glyma.02G209100.Wm82.a2.v1",68,80,48,82,109,107
"Glyma.11G174400.Wm82.a2.v1",8,6,7,9,12,9
"Glyma.05G170200.Wm82.a2.v1",36,32,21,30,25,29
"Glyma.13G060600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G006200.Wm82.a2.v1",92,77,105,76,144,202
"Glyma.08G133900.Wm82.a2.v1",210,219,145,189,185,144
"Glyma.17G154900.Wm82.a2.v1",231,262,210,323,353,274
"Glyma.09G105300.Wm82.a2.v1",142,114,110,104,101,83
"Glyma.12G128000.Wm82.a2.v1",4,0,2,5,1,3
"Glyma.16G190800.Wm82.a2.v1",2,2,0,1,0,0
"Glyma.20G114500.Wm82.a2.v1",364,413,324,441,583,362
"Glyma.20G194100.Wm82.a2.v1",183,186,171,139,132,121
"Glyma.18G118600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.04G220300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.14G217300.Wm82.a2.v1",265,235,217,327,353,214
"Glyma.13G139500.Wm82.a2.v1",40,38,23,46,25,21
"Glyma.15G011100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.10G012100.Wm82.a2.v1",1,0,0,0,0,0
"Glyma.07G259100.Wm82.a2.v1",17,35,31,8,8,11
"Glyma.20G193400.Wm82.a2.v1",7,4,3,3,2,2
"Glyma.16G107000.Wm82.a2.v1",15,15,9,5,13,11
"Glyma.15G234900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.04G199200.Wm82.a2.v1",229,228,176,134,155,125
"Glyma.16G137400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.10G078800.Wm82.a2.v1",0,1,0,2,4,1
"Glyma.08G024500.Wm82.a2.v1",3,6,4,5,7,13
"Glyma.18G057500.Wm82.a2.v1",267,286,224,351,363,287
"Glyma.16G100500.Wm82.a2.v1",176,184,156,163,167,156
"Glyma.16G145600.Wm82.a2.v1",4,2,1,0,3,0
"Glyma.14G136500.Wm82.a2.v1",0,1,0,0,0,0
"Glyma.20G249500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.02G276800.Wm82.a2.v1",76,79,57,66,92,57
"Glyma.08G228600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.04G075500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.15G133800.Wm82.a2.v1",9,8,6,2,6,4
"Glyma.17G201200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.20G128800.Wm82.a2.v1",56,56,30,47,63,51
